"CODIGO";"PAIS";"MUERTE";"ROWID"
"BE";"Belgium";"112265";"AAM2/OAAEAAHEM8AAA"
"BG";"Bulgaria";"148635";"AAM2/OAAEAAHEM8AAB"
"CZ";"Czechia";"139154";"AAM2/OAAEAAHEM8AAC"
"DK";"Denmark";"57034";"AAM2/OAAEAAHEM8AAD"
"DE";"Germany (until 1990 former territory of the FRG)";"1016581";"AAM2/OAAEAAHEM8AAE"
"EE";"Estonia";"18721";"AAM2/OAAEAAHEM8AAF"
"IE";"Ireland";"34259";"AAM2/OAAEAAHEM8AAG"
"EL";"Greece";"143586";"AAM2/OAAEAAHEM8AAH"
"ES";"Spain";"447877";"AAM2/OAAEAAHEM8AAI"
"FR";"France";"659050";"AAM2/OAAEAAHEM8AAJ"
"HR";"Croatia";"62642";"AAM2/OAAEAAHEM8AAK"
"IT";"Italy";"706166";"AAM2/OAAEAAHEM8AAL"
"CY";"Cyprus";"6943";"AAM2/OAAEAAHEM8AAM"
"LV";"Latvia";"34471";"AAM2/OAAEAAHEM8AAN"
"LT";"Lithuania";"47463";"AAM2/OAAEAAHEM8AAO"
"LU";"Luxembourg";"4467";"AAM2/OAAEAAHEM8AAP"
"HU";"Hungary";"155034";"AAM2/OAAEAAHEM8AAQ"
"MT";"Malta";"4067";"AAM2/OAAEAAHEM8AAR"
"NL";"Netherlands";"170051";"AAM2/OAAEAAHEM8AAS"
"AT";"Austria";"89875";"AAM2/OAAEAAHEM8AAT"
"PL";"Poland";"518700";"AAM2/OAAEAAHEM8AAU"
"PT";"Portugal";"124175";"AAM2/OAAEAAHEM8AAV"
"RO";"Romania";"333028";"AAM2/OAAEAAHEM8AAW"
"SI";"Slovenia";"23006";"AAM2/OAAEAAHEM8AAX"
"SK";"Slovakia";"72963";"AAM2/OAAEAAHEM8AAY"
"FI";"Finland";"57580";"AAM2/OAAEAAHEM8AAZ"
"SE";"Sweden";"88565";"AAM2/OAAEAAHEM8AAa"
"IS";"Iceland";"2333";"AAM2/OAAEAAHEM8AAb"
"LI";"Liechtenstein";"265";"AAM2/OAAEAAHEM8AAc"
"NO";"Norway";"41881";"AAM2/OAAEAAHEM8AAd"
"CH";"Switzerland";"70559";"AAM2/OAAEAAHEM8AAe"
"ME";"Montenegro";"7451";"AAM2/OAAEAAHEM8AAf"
"AL";"Albania";"21086";"AAM2/OAAEAAHEM8AAg"
"RS";"Serbia";"124265";"AAM2/OAAEAAHEM8AAh"
"AM";"Armenia";"21570";"AAM2/OAAEAAHEM8AAi"
